movieId,movieId,title,genres
252,252,I.Q. (1994),Comedy|Romance
339,339,While You Were Sleeping (1995),Comedy|Romance
282,282,Nell (1994),Drama
237,237,Forget Paris (1995),Comedy|Romance
432,432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
587,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
225,225,Disclosure (1994),Drama|Thriller
185,185,"Net, The (1995)",Action|Crime|Thriller
256,256,Junior (1994),Comedy|Sci-Fi
350,350,"Client, The (1994)",Drama|Mystery|Thriller
380,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
454,454,"Firm, The (1993)",Drama|Thriller
21,21,Get Shorty (1995),Comedy|Crime|Thriller
292,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
539,539,Sleepless in Seattle (1993),Comedy|Drama|Romance
266,266,Legends of the Fall (1994),Drama|Romance|War|Western
186,186,Nine Months (1995),Comedy|Romance
224,224,Don Juan DeMarco (1995),Comedy|Drama|Romance
349,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
440,440,Dave (1993),Comedy|Romance
590,590,Dances with Wolves (1990),Adventure|Drama|Western
11,11,"American President, The (1995)",Comedy|Drama|Romance
597,597,Pretty Woman (1990),Comedy|Romance
500,500,Mrs. Doubtfire (1993),Comedy|Drama
592,592,Batman (1989),Action|Crime|Thriller
276,276,Milk Money (1994),Comedy|Romance
435,435,Coneheads (1993),Comedy|Sci-Fi
253,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
22,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
344,344,Ace Ventura: Pet Detective (1994),Comedy
457,457,"Fugitive, The (1993)",Thriller
434,434,Cliffhanger (1993),Action|Adventure|Thriller
316,316,Stargate (1994),Action|Adventure|Sci-Fi
261,261,Little Women (1994),Drama
153,153,Batman Forever (1995),Action|Adventure|Comedy|Crime
150,150,Apollo 13 (1995),Adventure|Drama|IMAX
265,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
161,161,Crimson Tide (1995),Drama|Thriller|War
497,497,Much Ado About Nothing (1993),Comedy|Romance
588,588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
165,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
230,230,Dolores Claiborne (1995),Drama|Thriller
34,34,Babe (1995),Children|Drama
474,474,In the Line of Fire (1993),Action|Thriller
357,357,Four Weddings and a Funeral (1994),Comedy|Romance
329,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
317,317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
300,300,Quiz Show (1994),Drama
595,595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
364,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
